"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15336","Select Room Type - Deluxe","chromium","Fri Aug 09 17:14:09 SAST 2024","passed","Fri Aug 09 17:14:25 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","17894","Select No of Rooms - 5 - Five","chromium","Fri Aug 09 17:14:35 SAST 2024","passed","Fri Aug 09 17:14:53 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","13294","Select Adults Per Room - 4 - Four","chromium","Fri Aug 09 17:15:40 SAST 2024","passed","Fri Aug 09 17:15:53 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","11406","Fill Check Out Date - 02/09/2024","chromium","Fri Aug 09 17:15:28 SAST 2024","passed","Fri Aug 09 17:15:40 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","12194","Fill Check Out Date - 18/08/2024","chromium","Fri Aug 09 17:15:17 SAST 2024","passed","Fri Aug 09 17:15:29 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","29792","Select Location - New York","chromium","Fri Aug 09 17:13:23 SAST 2024","passed","Fri Aug 09 17:13:52 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","13940","Select Room Type - Super Deluxe","chromium","Fri Aug 09 17:14:10 SAST 2024","passed","Fri Aug 09 17:14:24 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","11173","Select Children Per Room - 1 - One","chromium","Fri Aug 09 17:15:41 SAST 2024","passed","Fri Aug 09 17:15:52 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","27503","Select Location - Los Angeles","chromium","Fri Aug 09 17:13:24 SAST 2024","passed","Fri Aug 09 17:13:51 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","23890","Select Location - Brisbane","chromium","Fri Aug 09 17:12:53 SAST 2024","passed","Fri Aug 09 17:13:17 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","13287","Select Children Per Room - 3 - Three","chromium","Fri Aug 09 17:15:52 SAST 2024","passed","Fri Aug 09 17:16:05 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","11884","Select Children Per Room - 2 - Two","chromium","Fri Aug 09 17:15:41 SAST 2024","passed","Fri Aug 09 17:15:53 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","10822","Fill Check Out Date - 28/08/2024","chromium","Fri Aug 09 17:15:18 SAST 2024","passed","Fri Aug 09 17:15:29 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","10361","Fill Check In Date - 30/08/2024","chromium","Fri Aug 09 17:15:05 SAST 2024","passed","Fri Aug 09 17:15:16 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","13433","Fill Check In Date - 20/08/2024","chromium","Fri Aug 09 17:15:03 SAST 2024","passed","Fri Aug 09 17:15:16 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","12416","Fill Search Hotel fields and reset them","chromium","Fri Aug 09 17:15:53 SAST 2024","passed","Fri Aug 09 17:16:06 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","22029","Select Location - London","chromium","Fri Aug 09 17:13:22 SAST 2024","passed","Fri Aug 09 17:13:44 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","18036","Select Room Type - Standard","chromium","Fri Aug 09 17:14:06 SAST 2024","passed","Fri Aug 09 17:14:24 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","18155","Select No of Rooms - 6 - Six","chromium","Fri Aug 09 17:14:36 SAST 2024","passed","Fri Aug 09 17:14:54 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","10982","Select Adults Per Room - 2 - Two","chromium","Fri Aug 09 17:15:29 SAST 2024","passed","Fri Aug 09 17:15:40 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","12919","Select Children Per Room - 0 - None","chromium","Fri Aug 09 17:15:40 SAST 2024","passed","Fri Aug 09 17:15:53 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
